Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HCLTECH,EQ,1-Jan-16,855.1,855.1,855.1,843.5,845.6,845.85,846.83,485196,410880355.7,9066,291168,60.01
HCLTECH,EQ,4-Jan-16,845.85,841,854.95,837.45,846.95,845.95,843.36,1086036,915919738.5,43114,540113,49.73
HCLTECH,EQ,5-Jan-16,845.95,848.95,851.05,836.4,844,842.8,842.45,732691,617257642.2,41363,456084,62.25
HCLTECH,EQ,6-Jan-16,842.8,853.7,853.7,837,841,841.4,843.19,1398935,1179563879,58050,971039,69.41
HCLTECH,EQ,7-Jan-16,841.4,836.1,837.9,819,825.5,825.05,827.47,1450657,1200371675,51218,951629,65.6
HCLTECH,EQ,8-Jan-16,825.05,828,836.75,813.8,831.05,828.35,824.68,1688435,1392420250,46806,1163945,68.94
HCLTECH,EQ,11-Jan-16,828.35,815,833,811.1,815,814.55,816.61,1267638,1035171029,50618,770967,60.82
HCLTECH,EQ,12-Jan-16,814.55,818,819,798.05,809.65,810.05,805.53,1157664,932537991.3,54962,683855,59.07
HCLTECH,EQ,13-Jan-16,810.05,814.8,829.85,804.3,829,826.4,814.67,1579234,1286553554,54897,1017038,64.4
HCLTECH,EQ,14-Jan-16,826.4,810.05,841.8,810.05,830.05,828.85,832.74,2540610,2115655504,56588,1688083,66.44
HCLTECH,EQ,15-Jan-16,828.85,828.5,842,816,840.1,838.05,831.11,2285591,1899574647,48715,1625694,71.13
HCLTECH,EQ,18-Jan-16,838.05,831.1,853.95,831.1,848,842.35,842.84,1887068,1590502540,51917,1163098,61.64
HCLTECH,EQ,19-Jan-16,842.35,867,870,800,840,838.25,830.83,5309499,4411308303,126174,2150763,40.51
HCLTECH,EQ,20-Jan-16,838.25,831.05,846,823,839,841.9,839.14,1988009,1668211022,76435,1164669,58.58
HCLTECH,EQ,21-Jan-16,841.9,844,850.15,831.25,832.35,835.25,837.41,1674215,1402000392,68064,1091431,65.19
HCLTECH,EQ,22-Jan-16,835.25,838,850.95,831.9,841,839.25,841.9,1009239,849675313,35195,601223,59.57
HCLTECH,EQ,25-Jan-16,839.25,847.5,858.9,836.85,839.4,838.7,846.59,1095067,927069772.3,65774,605076,55.25
HCLTECH,EQ,27-Jan-16,838.7,838,840.9,830.2,839,836,834.92,1100759,919046547.1,40394,708159,64.33
HCLTECH,EQ,28-Jan-16,836,833,849.8,829.7,844.15,844.5,842.99,1600653,1349327833,35730,1031338,64.43
HCLTECH,EQ,29-Jan-16,844.5,845.25,870,842.3,866.4,865.75,858.65,1917557,1646507010,34692,1345049,70.14
HCLTECH,EQ,1-Feb-16,865.75,865.8,889.9,865.8,876.7,880.3,882.35,1297246,1144620340,51521,847815,65.35
HCLTECH,EQ,2-Feb-16,880.3,880,885,867.05,871,872.65,879.04,1112732,978138654.1,53212,760587,68.35
HCLTECH,EQ,3-Feb-16,872.65,866.35,870,848.85,854.05,852.1,859.34,978045,840474567.1,41001,653243,66.79
HCLTECH,EQ,4-Feb-16,852.1,855.1,874.8,848.95,866.8,867.35,867.91,1317307,1143297592,32685,896897,68.09
HCLTECH,EQ,5-Feb-16,867.35,877,877,858.35,868.5,869.65,868.27,983851,854252892.5,38004,597843,60.77
HCLTECH,EQ,8-Feb-16,869.65,866.1,868.95,846,851,849.75,854.43,805217,688000797.7,28792,457058,56.76
