Date,Open,High,Low,Close,Adj Close,Volume
02-07-02,5.523439,5.537041,5.421423,5.443769,4.00964,61044.0
03-07-02,5.50595,5.545785,5.328151,5.466116,4.026099,34160.0
04-07-02,5.501093,5.572018,5.417537,5.528297,4.071899,27892.0
05-07-02,5.563274,5.656546,5.47486,5.590478,4.1177,58976.0
08-07-02,5.501093,5.718727,5.501093,5.625455,4.143462,48909.0
09-07-02,5.590478,5.758562,5.568132,5.616711,4.137022,321846.0
10-07-02,5.488462,5.488462,5.146465,5.222249,3.846478,138434.0
11-07-02,4.978382,5.213504,4.978382,5.1863,3.82,15027.0
12-07-02,5.501093,5.501093,5.244595,5.319407,3.91804,24187.0
15-07-02,5.324265,5.479718,5.191158,5.333009,3.928059,50330.0
16-07-02,5.199902,5.438911,5.199902,5.315521,3.915179,24928.0
17-07-02,4.702453,5.137721,4.618897,5.044449,3.715519,21356.0
18-07-02,4.880252,5.146465,4.835559,5.080398,3.741997,27532.0
19-07-02,5.026961,5.203789,5.022103,5.151323,3.794237,13380.0
22-07-02,5.080398,5.146465,4.968666,4.973524,3.663279,21665.0
23-07-02,4.818071,5.084284,4.818071,5.061938,3.7284,40161.0
24-07-02,5.058051,5.128977,4.937575,5.061938,3.7284,34479.0
25-07-02,5.058051,5.058051,4.791838,4.849162,3.571679,38185.0
26-07-02,5.146465,5.146465,4.729657,4.871508,3.588138,51760.0
29-07-02,4.223463,4.250667,3.903813,4.250667,3.130853,17188.0
30-07-02,4.170026,4.325479,4.03692,4.2769,3.150176,66561.0
31-07-02,4.179742,4.303133,4.148651,4.210833,3.101514,5557.0
01-08-02,4.250667,4.516881,4.250667,4.458586,3.283998,31134.0
02-08-02,4.06801,4.610153,4.06801,4.498421,3.313338,28211.0
05-08-02,4.59655,4.791838,4.525625,4.791838,3.529456,18835.0
06-08-02,4.627641,4.681078,4.627641,4.649987,3.424976,6690.0
07-08-02,4.800582,4.854019,4.658732,4.752003,3.500116,24825.0
08-08-02,4.791838,4.791838,4.614039,4.649987,3.424976,16581.0
09-08-02,4.658732,4.702453,4.574204,4.702453,3.463619,32421.0
12-08-02,4.614039,4.791838,4.614039,4.614039,3.398498,10807.0
13-08-02,4.610153,4.702453,4.525625,4.574204,3.369157,11321.0
14-08-02,4.569346,4.641243,4.525625,4.538256,3.342679,11908.0
15-08-02,4.538256,4.538256,4.538256,4.538256,3.342679,0.0
16-08-02,4.614039,4.693709,4.569346,4.645129,3.421398,7986.0
19-08-02,4.525625,4.720913,4.516881,4.543113,3.346257,15449.0
20-08-02,4.529511,4.529511,4.383774,4.427495,3.261097,17239.0
21-08-02,4.525625,4.614039,4.436239,4.441097,3.271116,27326.0
22-08-02,4.441097,4.441097,4.347826,4.436239,3.267538,6175.0
23-08-02,4.458586,4.480932,4.458586,4.480932,3.300457,20842.0
26-08-02,4.436239,4.436239,4.179742,4.436239,3.267538,5043.0
27-08-02,4.480932,4.512023,4.436239,4.436239,3.267538,10817.0
28-08-02,4.370172,4.560602,4.370172,4.410007,3.248216,3087.0
29-08-02,4.401263,4.458586,4.347826,4.347826,3.202417,4888.0
30-08-02,4.396405,4.574204,4.392518,4.525625,3.333376,13894.0
02-09-02,4.370172,4.370172,4.347826,4.347826,3.202417,6947.0
03-09-02,4.392518,4.396405,4.370172,4.370172,3.218876,9263.0
04-09-02,4.392518,4.436239,4.383774,4.436239,3.267538,20173.0
05-09-02,4.436239,4.472188,4.436239,4.46733,3.290438,1893.0
06-09-02,4.347826,4.525625,4.347826,4.436239,3.267538,11836.0
09-09-02,4.35657,4.414865,4.352683,4.401263,3.241777,4117.0
10-09-02,4.401263,4.401263,4.401263,4.401263,3.241777,0.0
11-09-02,4.396405,4.432353,4.347826,4.37503,3.222454,6432.0
12-09-02,4.508136,4.508136,4.392518,4.445955,3.274694,3602.0
13-09-02,4.436239,4.436239,4.392518,4.436239,3.267538,5866.0
16-09-02,4.436239,4.458586,4.392518,4.432353,3.264676,24702.0
17-09-02,4.436239,4.458586,4.418751,4.418751,3.254657,24938.0
18-09-02,4.436239,4.463444,4.396405,4.410007,3.248216,17713.0
19-09-02,4.35657,4.489676,4.35657,4.414865,3.251796,39379.0
20-09-02,3.749332,4.436239,3.749332,4.423609,3.258235,14800.0
23-09-02,4.498421,4.525625,4.392518,4.512023,3.323357,27079.0
24-09-02,4.498421,4.498421,4.418751,4.436239,3.267538,26142.0
25-09-02,4.352683,4.436239,4.347826,4.392518,3.235335,14512.0
26-09-02,4.392518,4.392518,4.392518,4.392518,3.235335,0.0
27-09-02,4.405149,4.410007,4.405149,4.410007,3.248216,3087.0
30-09-02,4.418751,4.418751,4.392518,4.392518,3.235335,4117.0
01-10-02,4.392518,4.436239,4.392518,4.396405,3.238198,5732.0
02-10-02,4.396405,4.396405,4.396405,4.396405,3.238198,0.0
03-10-02,4.347826,4.347826,4.347826,4.347826,3.202417,2058.0
04-10-02,4.361428,4.378916,4.35657,4.35657,3.208858,6226.0
07-10-02,4.401263,4.436239,4.392518,4.392518,3.235335,24135.0
08-10-02,4.436239,4.436239,4.347826,4.370172,3.218876,18269.0
09-10-02,4.316735,4.370172,4.312849,4.361428,3.212435,6895.0
10-10-02,4.361428,4.361428,4.347826,4.352683,3.205995,1296.0
11-10-02,4.35657,4.383774,4.347826,4.365314,3.215298,4487.0
14-10-02,4.001943,4.547971,4.001943,4.436239,3.267538,3355.0
15-10-02,4.436239,4.436239,4.436239,4.436239,3.267538,0.0
16-10-02,4.35657,4.432353,4.35657,4.396405,3.238198,3602.0
17-10-02,4.427495,4.436239,4.347826,4.427495,3.261097,22664.0
18-10-02,4.347826,4.436239,4.347826,4.392518,3.235335,17857.0
21-10-02,4.347826,4.449842,4.347826,4.436239,3.267538,50896.0
22-10-02,4.365314,4.436239,4.259412,4.268156,3.143736,8614.0
23-10-02,4.427495,4.427495,4.237065,4.250667,3.130853,71172.0
24-10-02,4.174884,4.259412,4.170026,4.19723,3.091495,21418.0
25-10-02,4.170026,4.259412,3.997085,4.179742,3.078613,125722.0
28-10-02,4.170026,4.250667,4.170026,4.24581,3.127277,3983.0
29-10-02,3.820257,4.179742,3.820257,4.174884,3.075036,4271.0
30-10-02,4.361428,4.361428,4.174884,4.174884,3.075036,4425.0
31-10-02,3.673548,4.259412,3.673548,4.232207,3.117257,15284.0
01-11-02,4.135049,4.259412,4.135049,4.259412,3.137295,7873.0
04-11-02,4.081612,4.081612,4.081612,4.081612,3.006336,1029.0
05-11-02,4.08647,4.254554,4.08647,4.103959,3.022796,8820.0
06-11-02,4.103959,4.103959,4.103959,4.103959,3.022796,0.0
07-11-02,4.170026,4.170026,4.064124,4.06801,2.996317,9489.0
